age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
80,entrepreneur,divorced,tertiary,no,44285,yes,no,unknown,196,may,2482,1,1199,16,unknown,yes
34,blue-collar,married,secondary,no,45465,yes,no,unknown,138,may,2210,4,390,28,unknown,yes
37,management,married,unknown,no,44560,yes,no,unknown,130,may,2007,1,1892,25,unknown,yes
22,blue-collar,divorced,primary,no,6647,yes,no,unknown,172,may,3905,2,957,22,unknown,yes
29,technician,married,secondary,no,20922,yes,no,unknown,161,may,3625,2,1188,26,unknown,yes
86,housemaid,married,secondary,no,-6130,yes,no,unknown,128,may,1378,3,61,12,unknown,yes
39,technician,divorced,primary,no,-14531,yes,no,unknown,115,may,3415,1,1147,19,unknown,yes
70,blue-collar,divorced,primary,no,28550,yes,no,unknown,158,may,3812,1,80,23,unknown,yes
23,blue-collar,single,primary,no,11637,yes,no,unknown,137,may,2123,1,263,24,unknown,yes
23,management,divorced,tertiary,no,-7027,yes,yes,unknown,157,may,3429,1,1264,29,unknown,yes
69,retired,married,secondary,no,11800,yes,yes,unknown,190,may,1185,2,-83,23,unknown,yes
51,blue-collar,married,secondary,no,-13508,yes,no,unknown,146,may,1351,1,546,29,unknown,yes
48,blue-collar,married,secondary,no,28644,yes,no,unknown,127,may,2177,2,1269,13,unknown,yes
31,admin.,married,secondary,no,33902,yes,no,unknown,202,may,1478,1,1326,26,unknown,yes
83,blue-collar,married,secondary,no,-6481,yes,no,unknown,118,may,1523,1,901,20,unknown,yes
96,retired,married,primary,no,45470,yes,no,unknown,195,may,1533,1,709,27,unknown,yes
82,technician,single,unknown,no,17225,yes,no,unknown,114,may,3047,2,1760,27,unknown,yes
88,technician,married,tertiary,no,-10562,no,no,unknown,184,may,2929,2,1313,29,unknown,yes
41,blue-collar,married,secondary,no,18435,yes,no,unknown,124,may,1151,1,1029,26,unknown,yes
26,blue-collar,divorced,secondary,no,4503,yes,no,unknown,139,may,2734,3,1927,19,unknown,yes
89,blue-collar,married,secondary,no,-18132,yes,no,unknown,124,may,2510,4,171,12,unknown,yes
45,blue-collar,divorced,primary,no,4627,yes,no,unknown,125,may,2725,1,1066,26,unknown,yes
107,blue-collar,married,primary,no,-14033,yes,no,unknown,173,may,2354,1,1756,11,unknown,yes
41,blue-collar,married,unknown,no,17985,yes,no,unknown,189,may,3106,1,484,24,unknown,yes
50,unknown,married,primary,no,-16476,yes,yes,unknown,161,may,1108,2,30,13,unknown,yes
32,services,married,primary,no,7368,yes,no,unknown,154,may,3762,2,1543,25,unknown,yes
44,admin.,married,primary,no,15530,yes,no,unknown,184,may,1856,1,968,25,unknown,yes
31,technician,married,tertiary,no,45994,yes,no,unknown,146,may,2107,2,604,14,unknown,yes
63,services,single,primary,no,-15148,yes,no,unknown,164,may,3533,2,1630,20,unknown,yes
40,management,married,tertiary,no,35597,no,no,unknown,137,may,1416,2,1026,13,unknown,yes
40,retired,divorced,primary,no,-18426,yes,no,unknown,181,may,3664,2,366,26,unknown,yes
83,blue-collar,married,primary,no,29203,yes,no,unknown,149,may,2227,1,1696,22,unknown,yes
76,technician,single,secondary,no,2936,yes,no,unknown,133,may,4061,6,1067,14,unknown,yes
44,services,single,unknown,no,-10375,yes,no,unknown,133,may,3307,1,1014,19,unknown,yes
46,technician,married,tertiary,no,9303,yes,yes,unknown,153,may,1911,1,136,15,unknown,yes
35,self-employed,single,tertiary,no,23477,yes,no,unknown,201,may,1954,1,1343,14,unknown,yes
16,blue-collar,married,secondary,no,43573,yes,no,unknown,185,may,2033,3,1210,11,unknown,yes
65,blue-collar,married,secondary,no,38454,yes,no,unknown,176,may,1266,1,100,16,unknown,yes
60,admin.,single,secondary,no,23352,yes,yes,unknown,202,may,2388,1,1963,18,unknown,yes
50,services,divorced,secondary,no,28609,yes,no,unknown,149,may,880,2,1551,25,unknown,yes
62,blue-collar,single,secondary,no,5191,yes,no,unknown,163,may,3215,2,744,20,unknown,yes
41,technician,single,secondary,no,45888,yes,no,unknown,157,may,3144,1,1745,14,unknown,yes
73,admin.,divorced,secondary,no,46493,yes,no,unknown,194,may,3403,1,1716,15,unknown,yes
72,technician,single,tertiary,no,41106,yes,no,unknown,194,may,2682,1,1297,10,unknown,yes
90,management,single,tertiary,no,-1478,yes,no,unknown,197,may,3469,3,1912,20,unknown,yes
72,technician,single,secondary,no,39337,yes,no,unknown,137,may,1722,5,60,26,unknown,yes
20,blue-collar,married,primary,no,39713,yes,yes,unknown,140,may,1377,4,1394,29,unknown,yes
27,management,single,secondary,no,24641,yes,no,unknown,129,may,3418,4,1491,21,unknown,yes
77,admin.,single,secondary,no,32894,yes,no,unknown,147,may,3018,1,574,27,unknown,yes
95,blue-collar,married,secondary,no,-4703,yes,no,unknown,164,may,2099,2,1068,27,unknown,yes
38,admin.,married,secondary,no,41781,yes,no,unknown,128,may,982,1,560,10,unknown,yes
72,blue-collar,married,secondary,no,28498,yes,no,unknown,210,may,3352,4,1918,16,unknown,yes
43,services,divorced,secondary,no,34871,yes,no,unknown,197,may,3388,3,398,27,unknown,yes
25,management,divorced,tertiary,no,26501,yes,no,unknown,134,may,2026,2,1206,26,unknown,yes
54,technician,single,tertiary,no,37750,yes,yes,unknown,173,may,2662,6,1528,26,unknown,yes
66,technician,married,secondary,no,-10864,yes,no,unknown,214,may,2643,5,537,10,unknown,yes
82,blue-collar,married,secondary,no,43316,yes,no,unknown,157,may,461,1,-35,24,unknown,yes
19,blue-collar,divorced,secondary,no,15906,yes,no,unknown,187,may,4142,1,889,28,unknown,yes
23,services,single,secondary,no,-10866,yes,no,unknown,209,may,2588,2,1323,21,unknown,yes
18,blue-collar,married,primary,no,45325,yes,no,unknown,146,may,3206,1,139,19,unknown,yes
35,blue-collar,married,secondary,no,13342,yes,no,unknown,173,may,2089,2,-46,27,unknown,yes
47,services,married,secondary,no,18702,yes,no,unknown,212,may,4005,1,596,13,unknown,yes
37,technician,single,secondary,no,-18188,yes,no,unknown,170,may,1910,4,56,13,unknown,yes
13,admin.,single,secondary,no,-16228,yes,yes,unknown,180,may,1621,1,1617,26,unknown,yes
32,technician,divorced,secondary,no,37102,yes,no,unknown,181,may,2520,3,1729,10,unknown,yes
20,blue-collar,married,primary,no,3734,yes,yes,unknown,194,may,4057,2,1334,12,unknown,yes
71,blue-collar,married,unknown,no,-8829,yes,no,unknown,172,may,2401,2,1593,11,unknown,yes
70,blue-collar,married,primary,no,12385,yes,no,unknown,188,may,3257,2,934,18,unknown,yes
55,blue-collar,single,primary,no,47903,yes,no,unknown,148,may,1892,1,1684,10,unknown,yes
46,blue-collar,married,secondary,no,9137,yes,no,unknown,121,may,1360,1,1286,10,unknown,yes
38,technician,married,secondary,no,-5909,yes,no,unknown,158,may,1817,2,1000,10,unknown,yes
18,management,married,tertiary,no,23271,yes,yes,unknown,205,may,1562,2,1282,15,unknown,yes
36,blue-collar,single,secondary,yes,-5826,yes,no,unknown,207,may,851,1,822,10,unknown,yes
66,technician,single,secondary,no,47140,yes,no,unknown,131,may,3534,1,1593,18,unknown,yes
81,blue-collar,married,primary,no,25892,yes,no,unknown,184,may,3127,2,1857,18,unknown,yes
54,management,single,tertiary,no,38724,yes,no,unknown,163,may,1578,2,959,21,unknown,yes
50,technician,married,secondary,no,-2710,yes,yes,unknown,126,may,1536,1,1197,20,unknown,yes
81,retired,married,primary,no,-9804,no,no,unknown,196,may,3183,1,164,13,unknown,yes
44,technician,single,tertiary,no,-16359,yes,no,unknown,184,may,1958,2,1445,29,unknown,yes
81,technician,single,tertiary,no,39740,yes,no,unknown,144,may,3790,2,-14,22,unknown,yes
36,technician,single,secondary,no,48185,yes,no,unknown,200,may,1461,1,1222,26,unknown,yes
16,blue-collar,married,secondary,no,23533,yes,no,unknown,121,may,3360,3,653,17,unknown,yes
18,blue-collar,married,secondary,no,15897,yes,no,unknown,220,may,1709,3,1885,25,unknown,yes
23,blue-collar,married,primary,no,-3705,yes,no,unknown,141,may,3441,8,1467,16,unknown,yes
69,self-employed,divorced,tertiary,no,-11427,yes,no,unknown,128,may,2350,2,185,19,unknown,yes
64,blue-collar,single,secondary,no,-14087,yes,no,unknown,133,may,1766,1,328,14,unknown,yes
87,blue-collar,divorced,primary,no,7516,yes,no,unknown,193,may,2335,1,1282,26,unknown,yes
89,admin.,married,secondary,no,11016,yes,no,unknown,196,may,3516,3,1511,14,unknown,yes
17,blue-collar,married,secondary,no,15932,yes,no,unknown,190,may,2450,3,803,19,unknown,yes
45,management,divorced,tertiary,no,25664,no,no,unknown,174,may,3348,6,1017,10,unknown,yes
69,blue-collar,married,primary,no,35530,yes,no,unknown,157,may,3557,3,423,23,unknown,yes
15,blue-collar,married,secondary,no,-8849,yes,no,unknown,197,may,3121,2,1274,16,unknown,yes
12,technician,married,tertiary,no,-2925,yes,no,unknown,183,may,642,2,1476,22,unknown,yes
77,technician,divorced,secondary,no,-689,yes,no,unknown,150,may,2712,11,737,17,unknown,yes
19,services,married,secondary,no,-13754,yes,no,unknown,219,may,1604,1,1468,14,unknown,yes
82,blue-collar,married,secondary,no,735,no,no,unknown,168,may,3276,2,1768,25,unknown,yes
37,self-employed,single,tertiary,no,49483,yes,no,unknown,144,may,2914,2,373,21,unknown,yes
78,admin.,single,secondary,no,33774,yes,no,unknown,207,may,3369,3,293,16,unknown,yes
66,blue-collar,divorced,secondary,no,32247,yes,no,unknown,170,may,3073,2,760,28,unknown,yes
34,management,married,tertiary,no,2520,yes,no,unknown,177,may,1323,4,1298,20,unknown,yes
78,admin.,divorced,secondary,no,-14211,yes,no,unknown,173,may,1338,2,120,18,unknown,yes
11,admin.,single,secondary,no,7788,yes,no,unknown,170,may,1643,6,730,16,unknown,yes
46,management,divorced,tertiary,no,25274,yes,no,unknown,127,may,1975,4,1214,21,unknown,yes
49,services,married,secondary,no,-1466,yes,no,unknown,153,may,3118,3,1786,28,unknown,yes
37,blue-collar,married,secondary,no,31470,yes,no,unknown,174,may,2060,3,902,17,unknown,yes
69,services,single,secondary,no,26072,yes,no,unknown,161,may,3286,2,1760,15,unknown,yes
84,retired,single,secondary,no,42591,yes,no,unknown,171,may,1325,5,426,20,unknown,yes
17,entrepreneur,single,primary,no,36536,yes,yes,unknown,136,may,3523,1,1912,28,unknown,yes
24,admin.,married,secondary,no,-8700,yes,no,unknown,142,may,1092,3,1864,10,unknown,yes
53,admin.,single,secondary,no,23502,yes,yes,unknown,147,may,2596,1,1881,20,unknown,yes
12,blue-collar,married,secondary,no,1904,yes,no,unknown,200,may,1726,1,120,24,unknown,yes
59,services,divorced,secondary,no,-17273,yes,yes,unknown,154,may,3271,2,926,15,unknown,yes
68,management,married,tertiary,no,19961,no,no,unknown,159,may,3489,2,63,27,unknown,yes
59,management,single,tertiary,no,44237,yes,no,unknown,211,may,3832,2,1441,11,unknown,yes
36,technician,single,secondary,no,-11272,yes,no,unknown,185,may,1871,3,1696,21,unknown,yes
44,services,single,secondary,no,7772,yes,no,unknown,168,may,1137,2,999,14,unknown,yes
29,self-employed,single,secondary,no,7188,yes,no,unknown,204,may,1434,2,-39,14,unknown,yes
29,management,married,secondary,no,37308,yes,no,unknown,134,may,2926,1,593,18,unknown,yes
70,services,single,secondary,no,40177,yes,no,unknown,206,may,4048,1,1771,16,unknown,yes
76,management,single,tertiary,no,45855,yes,no,unknown,184,may,941,2,1004,20,unknown,yes
13,student,single,secondary,no,39980,yes,no,unknown,157,may,1942,1,1317,26,unknown,yes
55,entrepreneur,married,unknown,no,3775,yes,no,unknown,189,may,1814,9,1802,11,unknown,yes
79,blue-collar,married,secondary,no,19978,yes,yes,unknown,135,may,2540,1,189,17,unknown,yes
58,admin.,married,secondary,no,-8375,yes,no,unknown,176,may,1794,1,1724,29,unknown,yes
53,blue-collar,married,secondary,no,31135,yes,no,unknown,129,may,1573,2,869,12,unknown,yes
85,unemployed,divorced,secondary,no,3246,yes,no,unknown,180,may,1560,1,1434,27,unknown,yes
62,blue-collar,divorced,secondary,no,16592,yes,no,unknown,206,may,1579,1,364,23,unknown,yes
94,technician,married,secondary,no,47425,yes,no,unknown,134,may,1730,2,1664,15,unknown,yes
39,management,single,tertiary,no,44795,yes,no,unknown,150,may,3769,3,757,26,unknown,yes
29,admin.,married,secondary,no,45054,yes,no,unknown,174,may,2765,3,1194,22,unknown,yes
29,blue-collar,divorced,primary,no,-3567,yes,no,unknown,182,may,3455,2,1479,17,unknown,yes
55,blue-collar,single,secondary,no,13733,yes,no,unknown,215,may,1039,2,674,13,unknown,yes
63,management,divorced,tertiary,no,43151,yes,no,unknown,164,may,3469,2,-95,26,unknown,yes
24,blue-collar,married,secondary,no,19402,yes,no,unknown,131,may,2930,3,310,14,unknown,yes
91,blue-collar,single,primary,no,24302,yes,no,unknown,192,may,1985,3,524,19,unknown,yes
32,management,single,tertiary,no,15803,yes,no,unknown,178,may,3134,1,1928,15,unknown,yes
63,technician,married,secondary,no,-17950,yes,no,unknown,182,may,1832,3,573,26,unknown,yes
26,blue-collar,single,secondary,no,47867,yes,yes,unknown,131,may,1576,2,925,16,unknown,yes
67,management,divorced,secondary,no,39070,yes,no,unknown,181,may,2699,1,-46,20,unknown,yes
68,management,single,tertiary,no,37561,yes,no,unknown,228,may,1599,1,1673,17,unknown,yes
83,admin.,divorced,secondary,no,-11946,yes,no,unknown,160,may,1173,2,371,15,unknown,yes
81,services,married,primary,no,14107,yes,no,unknown,227,may,3653,2,428,12,unknown,yes
45,unemployed,divorced,secondary,no,2440,yes,no,unknown,188,may,1451,2,64,18,unknown,yes
94,management,divorced,tertiary,no,52322,yes,no,unknown,180,may,3792,1,1630,20,unknown,yes
74,technician,divorced,secondary,no,39799,yes,no,unknown,143,may,2755,10,354,18,unknown,yes
53,technician,divorced,secondary,no,44472,yes,no,unknown,139,may,2230,15,1656,21,unknown,yes
71,services,married,secondary,no,2320,yes,no,unknown,220,may,2674,2,554,13,unknown,yes
76,unemployed,married,secondary,no,17670,yes,no,unknown,145,may,2096,3,749,29,unknown,yes
71,blue-collar,married,secondary,no,35188,yes,yes,unknown,130,may,3877,3,201,13,unknown,yes
67,technician,single,secondary,no,19426,yes,no,unknown,216,may,2461,3,359,17,unknown,yes
49,blue-collar,divorced,primary,no,-8976,yes,no,unknown,138,may,2128,2,1149,21,unknown,yes
58,management,single,tertiary,no,11743,yes,no,unknown,158,may,3735,2,1392,18,unknown,yes
21,management,single,tertiary,no,46496,yes,no,unknown,170,may,466,2,705,14,unknown,yes
44,technician,single,secondary,no,33930,yes,no,unknown,223,may,3541,4,1380,25,unknown,yes
44,unemployed,divorced,primary,no,9689,yes,no,unknown,172,may,1014,12,1399,19,unknown,yes
60,management,single,tertiary,no,48295,yes,no,unknown,205,may,1505,12,14,24,unknown,yes
69,entrepreneur,single,secondary,no,-15437,yes,no,unknown,226,may,2700,5,413,20,unknown,yes
44,blue-collar,married,primary,no,-1743,yes,no,unknown,157,may,4090,2,133,25,unknown,yes
77,management,married,tertiary,no,-8945,yes,no,unknown,119,jun,1892,2,868,16,unknown,yes
84,services,married,secondary,no,-449,yes,no,unknown,151,jun,3160,1,1242,15,unknown,yes
74,blue-collar,married,primary,no,25894,yes,yes,unknown,168,jun,2947,2,608,22,unknown,yes
56,services,married,primary,no,39049,yes,no,unknown,135,jun,1254,1,1757,26,unknown,yes
81,technician,married,secondary,no,-19131,yes,no,unknown,170,jun,1383,1,779,15,unknown,yes
73,services,married,secondary,no,30742,yes,no,unknown,200,jun,1195,1,601,28,unknown,yes
58,management,single,tertiary,no,40026,yes,no,unknown,187,jun,1136,1,100,11,unknown,yes
79,management,married,tertiary,no,-13325,yes,no,unknown,188,jun,945,3,16,29,unknown,yes
44,blue-collar,single,secondary,no,25967,yes,no,unknown,129,jun,1418,2,1114,17,unknown,yes
51,blue-collar,married,secondary,no,-518,yes,no,unknown,127,jun,2650,5,533,24,unknown,yes
46,technician,single,secondary,yes,46441,yes,no,unknown,124,jun,2350,5,997,22,unknown,yes
28,blue-collar,married,primary,no,-13347,yes,no,unknown,118,jun,1962,4,1339,14,unknown,yes
78,blue-collar,single,secondary,no,47033,yes,no,unknown,117,jun,2187,14,1965,29,unknown,yes
29,management,divorced,tertiary,yes,44379,yes,no,unknown,102,jun,1239,4,1723,10,unknown,yes
73,technician,single,secondary,no,-15026,yes,no,unknown,105,jun,2533,3,1713,26,unknown,yes
76,unemployed,married,secondary,no,18389,yes,yes,unknown,127,jun,2783,2,1623,24,unknown,yes
81,self-employed,married,secondary,yes,20136,yes,yes,unknown,188,jun,3905,3,643,20,unknown,yes
78,entrepreneur,married,secondary,no,14146,no,no,unknown,168,jun,3525,7,1091,24,unknown,yes
71,management,single,secondary,no,18617,yes,no,unknown,108,jun,1513,2,985,26,unknown,yes
64,services,single,secondary,no,19352,yes,no,unknown,191,jun,3605,3,1075,12,unknown,yes
56,services,single,secondary,no,1330,yes,no,unknown,193,jun,2616,1,1376,23,unknown,yes
72,management,married,primary,no,2155,yes,no,unknown,139,jun,1498,1,197,14,unknown,yes
70,blue-collar,single,secondary,yes,4049,yes,no,unknown,138,jun,3155,2,443,21,unknown,yes
62,blue-collar,divorced,primary,no,30932,yes,no,unknown,123,jun,4284,2,1092,21,unknown,yes
75,admin.,married,secondary,no,-10329,yes,no,unknown,119,jun,2697,7,561,24,unknown,yes
58,technician,single,tertiary,no,52511,yes,no,unknown,133,jun,3614,4,909,18,unknown,yes
61,management,divorced,secondary,no,44282,yes,no,unknown,116,jun,939,1,511,12,unknown,yes
66,admin.,divorced,secondary,no,34671,yes,no,unknown,146,jun,1690,15,1392,19,unknown,yes
32,services,single,secondary,no,14330,yes,no,unknown,179,jun,2845,1,26,11,unknown,yes
20,blue-collar,married,primary,no,28751,yes,no,unknown,196,jun,2984,2,871,10,unknown,yes
21,blue-collar,single,secondary,no,50211,yes,no,unknown,177,jun,2957,1,454,21,unknown,yes
28,management,single,tertiary,no,2524,yes,no,unknown,138,jun,1558,2,1323,11,unknown,yes
30,management,single,tertiary,yes,-524,yes,no,unknown,117,jun,3440,2,399,19,unknown,yes
66,services,single,secondary,no,18550,yes,no,unknown,170,jun,2039,1,1769,15,unknown,yes
50,self-employed,married,tertiary,no,3080,yes,yes,unknown,158,jun,4354,6,608,15,unknown,yes
75,blue-collar,married,primary,no,-6337,yes,no,unknown,149,jun,3681,1,1320,26,unknown,yes
27,admin.,divorced,secondary,no,32204,yes,no,unknown,172,jun,1509,1,392,16,unknown,yes
52,blue-collar,married,secondary,no,41423,no,no,unknown,128,jun,2545,1,1199,10,unknown,yes
96,retired,divorced,primary,no,11543,yes,no,unknown,200,jun,2666,2,356,25,unknown,yes
63,entrepreneur,married,secondary,no,13630,no,no,unknown,199,jun,2277,1,1685,13,unknown,yes
81,entrepreneur,married,tertiary,no,-12806,no,no,unknown,121,jun,4044,2,1628,19,unknown,yes
24,management,single,tertiary,no,-11169,no,no,unknown,187,jun,4025,1,251,25,unknown,yes
64,admin.,single,secondary,no,10188,yes,no,unknown,107,jun,946,2,157,13,unknown,yes
46,blue-collar,single,secondary,no,-5593,yes,no,unknown,109,jun,1444,2,1424,23,unknown,yes
38,management,single,tertiary,no,30899,yes,no,unknown,134,jun,1612,3,1687,18,unknown,yes
78,services,divorced,secondary,no,-12321,no,no,unknown,111,jun,916,1,333,17,unknown,yes
101,housemaid,married,primary,no,22126,no,yes,unknown,147,jun,1551,1,1557,15,unknown,yes
36,blue-collar,married,secondary,no,45928,no,no,unknown,169,jun,1571,2,1097,23,unknown,yes
85,housemaid,divorced,primary,yes,27262,no,no,unknown,154,jun,4205,1,1914,24,unknown,yes
48,housemaid,married,secondary,no,9723,no,no,unknown,190,jun,2632,2,721,26,unknown,yes
64,self-employed,married,secondary,no,-4913,yes,no,unknown,184,jun,1957,15,1636,12,unknown,yes
80,technician,married,secondary,no,38489,yes,no,unknown,138,jun,1224,5,975,14,unknown,yes
31,blue-collar,divorced,primary,no,17806,no,no,unknown,177,jun,1236,3,1040,16,unknown,yes
30,blue-collar,married,secondary,no,-12374,yes,no,unknown,159,jun,1640,4,476,25,unknown,yes
48,technician,single,secondary,no,-1272,yes,no,unknown,183,jun,3690,5,1082,10,unknown,yes
14,admin.,married,secondary,no,28591,yes,yes,unknown,178,jun,3838,2,1362,27,unknown,yes
39,blue-collar,married,unknown,no,18089,no,yes,unknown,138,jun,1920,2,263,22,unknown,yes
36,admin.,single,secondary,no,-2300,yes,no,unknown,184,jun,2168,11,1558,11,unknown,yes
46,management,single,tertiary,no,12564,yes,no,unknown,130,jun,824,4,144,15,unknown,yes
55,services,divorced,secondary,no,-17662,yes,no,unknown,184,jun,2348,3,27,13,unknown,yes
38,technician,married,secondary,no,10116,no,no,unknown,199,jun,1993,2,792,18,unknown,yes
24,blue-collar,single,primary,no,21498,yes,no,unknown,129,jun,4097,3,1155,28,unknown,yes
62,management,single,tertiary,no,31543,no,no,unknown,181,jun,3670,1,1160,26,unknown,yes
50,blue-collar,married,secondary,no,10220,yes,no,unknown,143,jun,1729,2,294,10,unknown,yes
63,blue-collar,married,unknown,no,37901,no,no,unknown,141,jun,810,3,680,18,unknown,yes
59,management,divorced,secondary,no,2550,yes,no,unknown,205,jun,2616,10,34,23,unknown,yes
35,services,married,secondary,no,33321,no,no,unknown,190,jun,2217,1,1647,13,unknown,yes
39,management,single,tertiary,no,21545,no,no,unknown,164,jun,2877,1,1855,11,unknown,yes
54,self-employed,divorced,tertiary,no,39672,no,no,unknown,130,jun,2126,1,1514,23,unknown,yes
79,technician,married,primary,no,-330,yes,no,unknown,120,jun,1194,6,-62,10,unknown,yes
63,blue-collar,divorced,primary,no,12737,no,no,unknown,183,jun,3324,1,-28,17,unknown,yes
67,management,married,secondary,no,2061,no,no,unknown,146,jun,5269,3,1918,22,unknown,yes
104,blue-collar,married,secondary,no,20330,no,no,unknown,143,jun,3174,3,1271,24,unknown,yes
54,self-employed,single,tertiary,no,542,no,no,unknown,159,jun,3796,3,134,18,unknown,yes
42,entrepreneur,married,tertiary,no,-8216,no,no,unknown,208,jun,1323,3,1545,20,unknown,yes
35,admin.,single,secondary,no,582,no,yes,unknown,114,jun,2262,4,384,10,unknown,yes
81,admin.,married,secondary,no,941,no,no,unknown,114,jun,4011,4,1421,28,unknown,yes
63,management,married,tertiary,no,-4832,no,yes,unknown,200,jun,3670,8,784,21,unknown,yes
43,housemaid,married,primary,no,-2202,no,yes,unknown,150,jun,2722,1,518,16,unknown,yes
35,retired,married,unknown,no,-17612,no,no,unknown,150,jun,1491,1,1457,20,unknown,yes
71,retired,married,unknown,no,5443,no,no,unknown,129,jun,3741,1,125,13,unknown,yes
42,blue-collar,married,secondary,no,42519,no,no,unknown,206,jun,1942,1,1093,10,unknown,yes
92,management,married,tertiary,no,3036,no,no,unknown,115,jun,829,1,284,22,unknown,yes
59,blue-collar,divorced,unknown,no,47577,no,no,unknown,184,jun,2212,2,387,25,unknown,yes
81,unemployed,married,secondary,no,34275,no,no,unknown,147,jun,2094,2,1877,26,unknown,yes
38,admin.,single,tertiary,no,49516,no,no,unknown,126,jun,2474,2,1623,16,unknown,yes
84,blue-collar,married,secondary,no,5486,no,no,unknown,185,jun,866,2,892,23,unknown,yes
47,admin.,married,secondary,no,-5756,no,no,unknown,176,jun,2041,1,45,27,unknown,yes
67,self-employed,married,tertiary,no,18771,no,no,unknown,121,jun,1198,5,1094,26,unknown,yes
53,housemaid,single,tertiary,no,4675,no,no,unknown,156,jun,2880,6,1124,13,unknown,yes
61,management,married,secondary,no,22362,yes,no,unknown,193,jun,3402,2,299,22,unknown,yes
17,blue-collar,married,tertiary,no,10804,no,no,unknown,147,jun,1954,6,1114,17,unknown,yes
