age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
64,Self-emp-not-inc,199148,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,55,United-States,>50K
66,Federal-gov,39622,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K
55,Private,138370,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,2559,51,United-States,>50K
54,Private,185232,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,55,United-States,>50K
40,Self-emp-not-inc,145712,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,59,United-States,>50K
59,Private,158146,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,1935,2559,37,United-States,>50K
45,Private,353580,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,51,United-States,>50K
45,Private,111025,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2602,43,United-States,>50K
52,Private,118619,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,41,United-States,>50K
47,Private,294190,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,41,United-States,>50K
76,?,107701,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,943,2489,19,United-States,<=50K
49,Private,109767,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,68,United-States,>50K
73,Private,107124,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,51,United-States,<=50K
74,Self-emp-not-inc,244023,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,38,Vietnam,<=50K
69,?,209606,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,2457,38,United-States,<=50K
69,?,179706,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,2457,40,United-States,<=50K
45,Self-emp-not-inc,308032,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,47,United-States,>50K
55,Private,246097,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,1803,2444,77,United-States,>50K
55,State-gov,67417,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,2528,43,United-States,>50K
47,Private,115220,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,45,United-States,>50K
44,Private,155520,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444,47,United-States,>50K
34,Private,216631,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,752,2576,48,United-States,>50K
56,Private,317307,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,46,United-States,>50K
41,Local-gov,132698,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,39,United-States,>50K
41,Private,254287,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,2444,44,United-States,>50K
37,Private,199043,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,2491,42,United-States,>50K
44,Private,170369,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,72,United-States,>50K
52,Self-emp-inc,128100,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2569,38,United-States,>50K
49,Private,146855,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,9,United-States,>50K
52,Self-emp-not-inc,148687,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,38,China,>50K
44,Private,141404,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,41,United-States,>50K
62,Self-emp-inc,216859,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,67,?,>50K
38,Private,304833,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,61,United-States,>50K
58,Self-emp-inc,134171,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2577,40,Greece,>50K
40,Self-emp-inc,356449,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,57,United-States,>50K
46,Self-emp-inc,192781,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,246,2415,64,United-States,>50K
52,Private,181018,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,56,United-States,>50K
48,Self-emp-not-inc,152506,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,1582,2415,51,United-States,>50K
45,Local-gov,275535,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,42,United-States,>50K
58,Self-emp-inc,239958,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,48,United-States,>50K
42,Private,175590,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2472,64,United-States,>50K
47,Private,161343,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,59,United-States,>50K
46,?,25944,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,2485,10,United-States,>50K
47,Private,304356,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,>50K
41,Private,165602,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2432,46,United-States,>50K
37,Private,428833,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,51,United-States,>50K
46,Self-emp-inc,153106,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K
61,Self-emp-inc,356349,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
35,Private,251154,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,96,2415,69,Taiwan,>50K
59,Self-emp-not-inc,42066,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,41,United-States,>50K
38,Self-emp-inc,32740,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,54,United-States,>50K
48,Self-emp-not-inc,186645,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K
43,Self-emp-not-inc,203320,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,?,>50K
45,Federal-gov,161263,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,260,2415,56,?,>50K
57,Self-emp-inc,276194,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,54,United-States,>50K
48,Self-emp-inc,208939,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
43,Private,186331,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,343,2415,68,India,>50K
48,Self-emp-not-inc,99912,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2469,44,United-States,>50K
44,Private,337004,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,104,United-States,>50K
65,Self-emp-inc,59496,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States,>50K
34,Self-emp-not-inc,276893,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,41,United-States,>50K
48,Private,187407,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,37,Philippines,>50K
49,Self-emp-not-inc,201552,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,820,2427,82,United-States,>50K
40,Self-emp-inc,134933,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,41,United-States,>50K
43,Private,245076,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,96,United-States,>50K
61,Private,83895,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,44,United-States,>50K
55,Self-emp-inc,153501,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2443,62,United-States,>50K
49,Private,487849,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,59,United-States,>50K
54,Self-emp-not-inc,99641,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States,>50K
52,Self-emp-not-inc,45433,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,33,United-States,>50K
44,Self-emp-inc,115380,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,56,United-States,>50K
40,Private,313533,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,47,United-States,>50K
39,Private,182471,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,88,United-States,>50K
59,Private,37969,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,53,United-States,>50K
53,Private,105645,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,434,2415,23,United-States,>50K
51,Private,142350,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,59,United-States,>50K
50,Self-emp-inc,111462,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2463,46,United-States,>50K
68,Private,102335,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,45,United-States,>50K
68,Self-emp-inc,97136,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,80,United-States,>50K
74,Self-emp-not-inc,47790,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,22,United-States,>50K
77,?,119338,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,0,2392,5,United-States,>50K
48,Self-emp-inc,174470,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,47,United-States,>50K
80,Self-emp-inc,176706,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,45,United-States,>50K
72,Self-emp-inc,69665,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,59,United-States,>50K
88,Self-emp-inc,144135,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,56,United-States,>50K
69,Private,228142,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,39,United-States,>50K
30,Private,175779,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,805,2377,44,United-States,<=50K
72,State-gov,241993,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,61,United-States,>50K
51,Self-emp-inc,149150,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,40,United-States,>50K
41,Private,340441,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,58,United-States,<=50K
71,Self-emp-not-inc,149111,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,12,United-States,>50K
31,Private,162808,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,1426,2377,19,United-States,<=50K
38,Local-gov,163193,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,38,United-States,<=50K
25,Private,167997,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,2377,42,United-States,<=50K
85,Private,190100,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,25,United-States,>50K
70,Self-emp-not-inc,396488,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,0,2377,28,United-States,>50K
73,Private,155418,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,United-States,>50K
69,Private,234899,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,359,2377,60,United-States,>50K
71,State-gov,210170,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,748,2377,42,?,>50K
70,?,220743,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,44,United-States,>50K
56,Private,234491,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,1459,2377,38,United-States,<=50K
41,Self-emp-inc,107700,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,55,United-States,<=50K
70,?,280313,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,38,United-States,>50K
24,Private,383878,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,47,United-States,<=50K
36,Private,176863,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2395,37,United-States,<=50K
71,Self-emp-inc,219900,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,47,United-States,>50K
63,Self-emp-not-inc,37336,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1122,2352,47,United-States,<=50K
68,Self-emp-inc,86456,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,269,2352,65,United-States,<=50K
47,Private,195669,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,42,United-States,<=50K
28,Local-gov,151327,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,54,United-States,<=50K
60,Local-gov,152705,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,39,United-States,<=50K
63,Private,47357,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,1293,2460,45,United-States,<=50K
64,State-gov,386682,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,37,United-States,<=50K
52,Self-emp-inc,130530,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,251,2339,50,United-States,<=50K
38,Private,24496,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,38,?,<=50K
26,Private,70719,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,32,United-States,<=50K
58,Private,159407,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,2339,50,?,<=50K
62,Local-gov,184044,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,39,United-States,<=50K
32,State-gov,405186,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,44,United-States,<=50K
46,?,153170,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,994,2339,36,United-States,<=50K
57,Self-emp-not-inc,341896,Masters,14,Divorced,Sales,Unmarried,White,Female,0,2339,59,United-States,<=50K
45,Private,149103,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,831,2339,43,United-States,<=50K
46,Private,183804,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,43,Trinadad&Tobago,<=50K
32,Private,245575,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,42,Canada,<=50K
43,Self-emp-not-inc,34499,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,39,United-States,<=50K
70,Private,214057,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,38,United-States,>50K
68,Local-gov,34113,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2299,40,United-States,<=50K
71,Private,137332,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,41,United-States,<=50K
56,Local-gov,184315,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,41,United-States,<=50K
59,Federal-gov,367582,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,37,United-States,<=50K
24,Self-emp-not-inc,161158,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,12,United-States,<=50K
36,Private,289912,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,81,United-States,<=50K
33,Self-emp-not-inc,263912,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,184,2258,42,South,<=50K
44,Private,281290,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,52,Philippines,<=50K
41,Private,94990,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,53,United-States,>50K
51,State-gov,174755,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,39,United-States,>50K
30,Private,143268,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,48,United-States,>50K
60,Federal-gov,181795,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,37,United-States,<=50K
42,Private,152206,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,47,United-States,>50K
52,Private,139921,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,40,United-States,>50K
31,Private,267126,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,43,United-States,>50K
32,Self-emp-not-inc,224231,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,48,United-States,<=50K
25,Private,110972,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,42,United-States,>50K
35,Private,35559,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,54,United-States,<=50K
37,Private,192389,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,42,United-States,<=50K
43,Local-gov,153350,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,62,United-States,<=50K
59,Private,113724,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,42,United-States,>50K
41,Private,149797,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,74,United-States,<=50K
48,Federal-gov,26759,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,1236,2258,45,United-States,>50K
53,State-gov,273486,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,52,United-States,>50K
47,Self-emp-inc,193044,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,2258,62,United-States,<=50K
58,Private,39100,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,62,United-States,>50K
48,Private,175450,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,49,United-States,>50K
49,Private,179399,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,39,United-States,>50K
32,Private,237985,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2282,47,United-States,>50K
60,Local-gov,107321,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2408,42,United-States,>50K
73,Self-emp-not-inc,152658,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,2246,41,United-States,>50K
72,Self-emp-not-inc,115440,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,7,United-States,>50K
77,Private,352210,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,40,United-States,>50K
77,Self-emp-not-inc,273493,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,32,United-States,>50K
32,Private,338280,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,37,United-States,<=50K
32,Private,133992,10th,6,Widowed,Adm-clerical,Unmarried,White,Female,548,2238,33,United-States,<=50K
27,Self-emp-not-inc,265449,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,1933,2357,40,United-States,>50K
51,Local-gov,99922,9th,5,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,39,United-States,>50K
32,Local-gov,90331,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,37,United-States,>50K
92,Private,48623,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,1801,2206,38,United-States,<=50K
71,Private,166317,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,33,United-States,<=50K
67,Private,135265,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,60,Canada,<=50K
69,?,139713,HS-grad,9,Widowed,?,Unmarried,White,Female,0,2206,13,United-States,<=50K
69,Private,125263,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,1717,2206,7,United-States,<=50K
69,Local-gov,341307,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,23,United-States,<=50K
26,Private,347380,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,416,2205,24,United-States,<=50K
47,Self-emp-not-inc,176922,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,36,United-States,<=50K
39,Private,112085,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,2205,37,United-States,<=50K
22,Private,117426,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,2205,18,United-States,<=50K
39,Private,126816,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,40,United-States,<=50K
41,Private,155908,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,2205,43,United-States,<=50K
34,Private,29347,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,1217,2205,40,Holand-Netherlands,<=50K
44,Private,230673,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,37,United-States,<=50K
66,?,217520,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,2205,41,United-States,<=50K
45,Self-emp-inc,24008,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,64,India,>50K
68,Private,163610,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,45,United-States,<=50K
29,Private,160209,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,1647,2179,43,Puerto-Rico,<=50K
46,Self-emp-inc,139284,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,88,Mexico,<=50K
45,Self-emp-not-inc,151269,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,1294,2179,37,United-States,<=50K
62,Self-emp-not-inc,271895,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,20,United-States,<=50K
60,State-gov,299651,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,37,United-States,<=50K
39,Self-emp-not-inc,61481,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,17,United-States,<=50K
46,Private,169919,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,42,United-States,<=50K
30,Private,123292,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,335,2179,44,United-States,<=50K
50,Private,175746,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,2179,55,United-States,<=50K
45,Private,218837,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,40,United-States,<=50K
51,Self-emp-not-inc,195348,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,0,2179,54,Mexico,<=50K
64,?,90000,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2179,50,United-States,<=50K
44,Self-emp-not-inc,172046,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2179,37,United-States,<=50K
38,Private,170743,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,2314,39,United-States,<=50K
68,?,160494,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2174,37,United-States,>50K
70,Self-emp-not-inc,106289,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2315,13,United-States,>50K
75,Private,298990,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1023,2174,45,United-States,>50K
80,Self-emp-not-inc,304618,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,48,United-States,>50K
67,State-gov,225327,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,39,United-States,>50K
68,Federal-gov,22502,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,37,United-States,>50K
