customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4190-MFLUW,Female,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),61.1,602.69,Yes
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,99.35,1991.24,No
8779-QRDMV,Male,1,No,No,12,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),30.9,354.32,No
1066-JKSGK,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.75,39.67,Yes
3638-WEABW,Female,0,Yes,No,63,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),65.3,3571.52,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),64.2,3034.24,No
6865-JZNKO,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.5,1546.56,No
6467-CHFZW,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,115.95,4969.93,Yes
8665-UTDHZ,Male,0,Yes,Yes,4,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,42.7,202.7,Yes
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.95,6496.52,No
8773-HHUOZ,Female,0,No,Yes,28,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,82.8,1326.59,Yes
3841-NFECX,Female,1,Yes,No,82,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),114.15,7010.81,No
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.7,221.33,No
6827-IEAUQ,Female,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,67.35,1890.29,No
7310-EGVHZ,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.4,296.94,No
3413-BMNZE,Male,1,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),46.45,61.21,No
6234-RAAPL,Female,0,Yes,Yes,74,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),106.2,7332.97,No
6047-YHPVI,Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.8,387.28,Yes
6572-ADKRS,Female,0,No,No,56,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),95.0,3818.98,No
5380-WJKOV,Male,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,3715.41,Yes
8168-UQWWF,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.35,1299.15,Yes
8865-TNMNX,Male,0,Yes,Yes,18,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,56.45,562.64,No
9489-DEDVP,Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),75.4,4952.33,No
9867-JCZSP,Female,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.55,669.71,No
4671-VJLCL,Female,0,No,No,73,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),86.25,4951.05,No
4080-IIARD,Female,0,Yes,No,21,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.7,1207.5,No
3714-NTNFO,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.7,3961.72,No
5948-UJZLF,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,57.55,201.58,No
7760-OYPDY,Female,0,No,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.25,406.79,Yes
7639-LIAYI,Male,0,No,No,55,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.85,4356.17,No
2954-PIBKO,Female,0,Yes,Yes,76,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),72.75,4371.06,No
8012-SOUDQ,Female,1,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.15,3862.5,No
9420-LOJKX,Female,0,No,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.3,1564.1,Yes
6575-SUVOI,Female,1,Yes,No,35,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),73.2,1800.75,No
7495-OOKFY,Female,1,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.15,639.95,Yes
4667-QONEA,Female,1,Yes,Yes,65,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),86.65,4608.57,No
1658-BYGOY,Male,1,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,1792.15,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),101.85,6338.04,No
5067-XJQFU,Male,1,Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,119.35,7223.5,No
3957-SQXML,Female,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),42.65,1129.71,No
5954-BDFSG,Female,0,No,No,79,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.1,7888.28,No
0434-CSFON,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.3,4728.7,No
1215-FIGMP,Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.4,5609.45,No
0526-SXDJP,Male,0,Yes,No,82,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),48.4,3045.16,No
0557-ASKVU,Female,0,Yes,Yes,29,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),72.2,1181.38,No
5698-BQJOH,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.0,947.01,Yes
5122-CYFXA,Female,0,No,No,10,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.8,401.6,No
8627-ZYGSZ,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,80.0,3664.32,No
3410-YOQBQ,Female,0,No,No,34,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,98.9,2771.03,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),37.95,1164.08,No
7410-OIEDU,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.95,888.58,No
2273-QCKXA,Male,0,No,No,6,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,68.05,294.15,No
0731-EBJQB,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.8,1133.83,No
1891-QRQSA,Male,1,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),131.2,7367.52,No
8028-PNXHQ,Male,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),44.25,1700.6,No
5630-AHZIL,Female,0,No,Yes,14,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.4,229.66,No
2673-CXQEU,Female,1,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,126.9,6362.54,No
6416-JNVRK,Female,0,No,No,57,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),64.15,2794.25,No
5590-ZSKRV,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,62.55,585.74,No
0191-ZHSKZ,Male,1,No,No,41,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.75,2211.3,No
3887-PBQAO,Female,0,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),40.6,1412.11,No
5919-TMRGD,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.95,272.79,Yes
8108-UXRQN,Female,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,62.65,714.18,No
9191-MYQKX,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.15,550.9,Yes
9919-YLNNG,Female,0,No,No,45,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),116.5,4483.71,No
0318-ZOPWS,Female,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.45,1152.9,No
4445-ZJNMU,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.2,995.45,No
4808-YNLEU,Female,0,Yes,No,40,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),69.15,2311.35,No
1862-QRWPE,Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.75,1147.88,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.45,1122.85,No
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,34.95,1024.73,No
4767-HZZHQ,Male,0,Yes,Yes,34,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),90.75,2685.91,No
2424-WVHPL,Male,1,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,91.4,308.5,No
7233-PAHHL,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,97.9,5893.56,No
6067-NGCEU,Female,0,No,No,75,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),121.75,7246.1,No
9848-JQJTX,Male,0,No,No,83,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.6,7633.04,No
8637-XJIVR,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,88.35,1042.03,Yes
9803-FTJCG,Male,0,Yes,Yes,76,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),74.35,4852.95,No
0278-YXOOG,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.35,335.53,Yes
3212-KXOCR,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),35.3,1284.52,No
4598-XLKNJ,Female,1,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,119.2,2802.23,Yes
6380-ARCEH,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.1,206.45,No
3679-XASPY,Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.25,169.57,No
7123-WQUHX,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),102.1,3693.64,No
5386-THSLQ,Female,1,Yes,No,75,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),48.75,3071.73,No
3192-NQECA,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),121.9,7761.79,Yes
6180-YBIQI,Male,0,No,No,10,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.2,374.82,No
6728-DKUCO,Female,0,Yes,Yes,76,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.35,7305.61,No
9750-BOOHV,Female,0,No,No,37,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,32.05,951.97,No
8597-CWYHH,Male,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.55,3923.9,No
2848-YXSMW,Male,0,Yes,Yes,73,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,1369.8,No
0486-HECZI,Male,0,Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.05,5269.26,Yes
4549-ZDQYY,Female,0,No,No,63,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),59.45,3062.8,No
5712-AHQNN,Female,0,No,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,105.55,4127.85,No
4846-WHAFZ,Female,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.8,2907.75,Yes
5256-SKJGO,Female,0,Yes,Yes,74,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,70.8,3621.14,No
3071-VBYPO,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,110.45,507.96,No
9560-BBZXK,Female,0,No,No,44,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),41.95,1272.41,No
5299-RULOA,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.45,1130.17,Yes
8402-OOOHJ,Female,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.45,956.67,No
9445-ZUEQE,Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.2,2269.5,No
1091-SOZGA,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),101.3,5534.8,No
2928-HLDBA,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.3,285.37,No
0404-SWRVG,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.5,335.66,Yes
6497-TILVL,Female,0,Yes,Yes,15,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,71.7,642.25,No
7219-TLZHO,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.45,202.82,No
4622-YNKIJ,Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,93.25,3080.97,No
4412-YLTKF,Female,1,No,No,36,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.35,2315.05,Yes
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),44.25,2009.61,No
3930-ZGWVE,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,23.59,No
2639-UGMAZ,Male,1,No,No,73,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,69.45,4166.05,No
2876-GZYZC,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.75,1351.87,No
6207-WIOLX,Female,0,Yes,Yes,31,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.8,1505.25,Yes
8587-XYZSF,Male,0,No,No,68,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),55.65,3328.95,No
3091-FYHKI,Male,0,No,No,7,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,53.35,275.31,Yes
2372-HWUHI,Male,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,52.75,185.41,Yes
7799-LGRDP,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),36.8,1342.49,No
7850-VWJUU,Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1968.1,No
3774-VBNXY,Female,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.1,1313.42,No
6217-KDYWC,Male,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,36.1,1376.8,No
0390-DCFDQ,Female,1,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,86.65,271.33,Yes
3146-MSEGF,Female,1,Yes,Yes,75,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.95,6450.92,No
4080-OGPJL,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,78.55,665.77,Yes
1095-WGNGG,Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.45,6032.85,No
2636-SJDOU,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),90.7,5369.69,No
1131-QQZEB,Male,1,Yes,No,74,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),42.75,1996.84,No
5716-EZXZN,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),117.05,6663.3,No
6837-BJYDQ,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.1,131.2,No
2135-RXIHG,Male,0,No,No,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.65,153.65,Yes
6440-DKQGE,Male,0,No,Yes,38,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),78.3,2103.83,No
3466-BYAVD,Male,0,Yes,Yes,17,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,No
3780-YVMFA,Female,0,Yes,Yes,14,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.95,704.57,No
3874-EQOEP,Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,113.4,913.1,Yes
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),123.45,8126.39,No
9073-ZZIAY,Male,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,105.8,5457.56,No
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.9,211.9,No
6551-GNYDG,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.4,1309.05,No
9167-APMXZ,Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.25,1884.17,No
2749-CTKAJ,Male,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,33.05,581.15,No
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,78.05,1195.12,No
7554-NEWDD,Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),39.1,412.4,No
8992-VONJD,Female,0,No,Yes,19,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,68.2,915.83,No
0867-MKZVY,Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,88.8,1672.35,Yes
4482-EWFMI,Female,0,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.4,282.62,No
4648-YPBTM,Male,0,No,No,60,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),74.5,3965.93,No
2907-ILJBN,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,38.4,483.1,No
6345-FZOQH,Male,0,Yes,No,79,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,35.1,1554.97,No
3376-BMGFE,Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.1,396.42,Yes
5997-OPVFA,Male,0,Yes,No,79,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.45,6366.17,No
3445-HXXGF,Male,1,Yes,No,64,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.3,2766.4,Yes
